experiment,setting_key,setting_value,run_id,mean8_pct,worst8_pct,autoattack_linf_pct,l2_family_avg_pct,linf_family_avg_pct,pgd_l2_pct,fgsm_rs_pct,tpgd_pct,deepfool_l2_pct,ddn_l2_pct,cw_l2_pct,mifgsm_pct,pgd20_ce_pct,notes
cluster_count,K,2,k2_seed42,62.272500,44.840000,40.430000,67.442500,57.102500,69.390000,68.730000,67.660000,67.830000,66.990000,65.560000,47.180000,44.840000,
cluster_count,K,2,k2_seed7777,62.390000,45.370000,41.990000,67.555000,57.225000,69.650000,68.950000,67.000000,67.870000,67.170000,65.530000,47.580000,45.370000,
cluster_count,K,2,k2_seed789,62.316250,45.170000,40.430000,67.477500,57.155000,69.480000,68.970000,66.790000,68.020000,67.030000,65.380000,47.690000,45.170000,
cluster_count,K,4,k4_seed42,62.575000,45.270000,39.840000,67.637500,57.512500,69.920000,69.060000,68.030000,67.650000,67.200000,65.780000,47.690000,45.270000,
cluster_count,K,4,k4_seed789,62.228750,45.110000,41.990000,67.365000,57.092500,69.380000,68.660000,67.250000,67.580000,67.070000,65.430000,47.350000,45.110000,
cluster_count,K,4,k4_seed7777,62.240000,45.600000,41.600000,67.195000,57.285000,69.290000,68.650000,67.200000,67.350000,66.920000,65.220000,47.690000,45.600000,
cluster_count,K,6,k6_seed42,62.118750,44.810000,39.450000,67.272500,56.965000,69.320000,68.720000,67.330000,67.790000,66.690000,65.290000,47.000000,44.810000,
cluster_count,K,6,k6_seed789,62.368750,44.990000,41.800000,67.642500,57.095000,69.560000,69.040000,66.860000,68.050000,67.280000,65.680000,47.490000,44.990000,
cluster_count,K,6,k6_seed7777,62.352500,45.700000,41.600000,67.297500,57.407500,69.250000,68.480000,67.630000,67.810000,66.710000,65.420000,47.820000,45.700000,
cluster_count,K,10,k10_seed789,62.292500,45.230000,41.410000,67.447500,57.137500,69.470000,69.070000,66.660000,67.540000,67.190000,65.590000,47.590000,45.230000,
cluster_count,K,10,k10_best,62.415000,45.110000,39.840000,67.692500,57.137500,69.770000,69.270000,66.800000,68.360000,67.070000,65.570000,47.370000,45.110000,valid K=10 run label; separate unlabeled k4 run excluded
anchor_strength,lambda_DRO,0.20,anchor20_seed7777,62.383750,45.310000,42.770000,67.525000,57.242500,69.650000,68.890000,67.070000,67.670000,67.300000,65.480000,47.700000,45.310000,
anchor_strength,lambda_DRO,0.20,anchor20_seed789,62.222500,45.170000,41.020000,67.332500,57.112500,69.420000,68.810000,67.150000,67.680000,66.930000,65.300000,47.320000,45.170000,
anchor_strength,lambda_DRO,0.20,anchor20_seed42,62.243750,44.560000,39.450000,67.440000,57.047500,69.510000,68.890000,67.480000,67.610000,67.110000,65.530000,47.260000,44.560000,
anchor_strength,lambda_DRO,0.35,anchor35_seed42,62.575000,45.270000,39.840000,67.637500,57.512500,69.920000,69.060000,68.030000,67.650000,67.200000,65.780000,47.690000,45.270000,
anchor_strength,lambda_DRO,0.35,anchor35_seed789,62.228750,45.110000,41.990000,67.365000,57.092500,69.380000,68.660000,67.250000,67.580000,67.070000,65.430000,47.350000,45.110000,
anchor_strength,lambda_DRO,0.35,anchor35_seed7777,62.240000,45.600000,41.600000,67.195000,57.285000,69.290000,68.650000,67.200000,67.350000,66.920000,65.220000,47.690000,45.600000,
anchor_strength,lambda_DRO,0.50,anchor50_seed42,62.036250,44.820000,39.260000,67.005000,57.067500,69.140000,68.380000,67.700000,67.510000,66.380000,64.990000,47.370000,44.820000,
anchor_strength,lambda_DRO,0.50,anchor50_seed7777,62.311250,45.620000,40.040000,67.300000,57.322500,69.410000,68.650000,67.090000,67.710000,66.690000,65.390000,47.930000,45.620000,
anchor_strength,lambda_DRO,0.50,anchor50_seed789,62.366250,45.280000,41.410000,67.525000,57.207500,69.440000,68.890000,67.290000,67.920000,67.080000,65.660000,47.370000,45.280000,
recluster_frequency,refresh_interval_epochs,1,e1_seed123,62.228750,44.780000,40.430000,67.587500,56.870000,69.650000,69.090000,66.360000,68.000000,67.120000,65.580000,47.250000,44.780000,
recluster_frequency,refresh_interval_epochs,1,e1_seed42,62.393750,45.370000,41.600000,67.405000,57.382500,69.520000,68.980000,67.450000,67.780000,66.980000,65.340000,47.730000,45.370000,
recluster_frequency,refresh_interval_epochs,1,e1_seed999,62.506250,45.350000,38.870000,67.717500,57.295000,69.720000,69.060000,67.070000,68.180000,67.250000,65.720000,47.700000,45.350000,
recluster_frequency,refresh_interval_epochs,2,e2_seed42,62.575000,45.270000,39.840000,67.637500,57.512500,69.920000,69.060000,68.030000,67.650000,67.200000,65.780000,47.690000,45.270000,
recluster_frequency,refresh_interval_epochs,2,e2_seed999,62.187500,44.870000,38.670000,67.475000,56.900000,69.550000,69.090000,66.420000,67.860000,67.060000,65.430000,47.220000,44.870000,
recluster_frequency,refresh_interval_epochs,2,e2_seed123,62.545000,45.270000,39.840000,67.577500,57.512500,69.680000,69.060000,68.030000,67.650000,67.200000,65.780000,47.690000,45.270000,
architecture_check,architecture,WRN-28-10,attackdropp_wrn2810,64.676250,47.720000,43.160000,69.582500,59.770000,71.930000,71.510000,69.810000,69.690000,69.110000,67.600000,50.040000,47.720000,single-run supplementary architecture check
architecture_check,architecture,WRN-28-10,multiat_wrn2810,64.865000,47.990000,44.920000,69.750000,59.980000,72.080000,72.010000,69.670000,69.960000,69.200000,67.760000,50.250000,47.990000,single-run supplementary architecture check
